Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
1,211000,Fashion & Retail,Bernard Arnault & family,74,1949,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,FALSE,U,M,Chairman and CEO,-,-,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887
2,180000,Automotive,Elon Musk,51,1971,Austin,"Tesla, SpaceX",Automotive,United States,Tesla,TRUE,D,M,CEO,Texas,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
3,114000,Technology,Jeff Bezos,59,1964,Medina,Amazon,Technology,United States,Amazon,TRUE,D,M,Chairman and Founder,Washington,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
4,107000,Technology,Larry Ellison,78,1944,Lanai,Oracle,Technology,United States,Oracle,TRUE,U,M,CTO and Founder,Hawaii,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
5,106000,Finance & Investments,Warren Buffett,92,1930,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),TRUE,D,M,CEO,Nebraska,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
6,104000,Technology,Bill Gates,67,1955,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,TRUE,D,M,Cochair,Washington,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
7,94500,Media & Entertainment,Michael Bloomberg,81,1942,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,TRUE,U,M,CEO,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
8,93000,Telecom,Carlos Slim Helu & family,83,1940,Mexico City,Telecom,Telecom,Mexico,América Móvil,TRUE,U,M,Honorary Chairman,-,-,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024
9,83400,Diversified,Mukesh Ambani,65,1957,Mumbai,Diversified,Diversified,India,Reliance Industries,FALSE,D,M,Founder and Chairman,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
10,80700,Technology,Steve Ballmer,67,1956,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,TRUE,D,M,Owner,Washington,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,1953,Paris,L'Oréal,Fashion & Retail,France,-,FALSE,U,F,-,-,-,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887
